0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:15 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:15 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:15 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:15 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:17 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:17 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:17 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:17 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/?start=2019-03-24 HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:18 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:18 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:19 +0200] "GET /dashboard/rest/v1/organizations/88888/jobs/?start=2019-03-24 HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:20 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:20 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:20 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:21 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:22 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:22 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:23 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:24 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:25 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:25 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:25 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:27 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:27 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019/months/5 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:27 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/count HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:04:56 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions HTTP/1.1" 200 14633
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:01 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4943633/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:01 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4943633/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944034/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944034/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944730/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4944730/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4945250/step-executions HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4945250/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4947446/step-executions HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:23 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/4898794/executions/4947446/execution-parameters HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:28 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:28 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:05:28 +0200] "GET /dashboard/rest/v1/organizations/21844/jobs/?start=2019-03-24 HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:02 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:02 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:03 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:04 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:05 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:05 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:06 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:07 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:07 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019/months/5 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:07 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/count HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:43 +0200] "GET /dashboard/v1/oauth/token HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:43 +0200] "GET /dashboard/rest/v1/dashboard HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:43 +0200] "GET /dashboard/rest/v1/organizations/jobs?start=2019-03-24 HTTP/1.1" 200 20662
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:45 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:45 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/years/2019/months/5 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jul/2019:00:06:45 +0200] "GET /dashboard/rest/v1/statistics/all-jobs/count HTTP/1.1" 200 16
